Step,Reward1,Reward2
0,0.8632659,1
1,0,0
2,0,0
3,1.844372E-06,1
4,4.094426E-07,1
5,0.009804044,1
6,1.810626,1
7,0,0
8,0.2336802,1
9,1.124922,1
10,0,0
11,6.155676E-07,1
12,0,0
13,1.628797,1
14,1.879947,1
15,0,0
16,0.5170583,1
17,0,0
18,2.416988,1
19,9.128773E-06,1
20,0,0
21,0,0
22,2.11265,1
23,2.106191E-07,1
24,1.636546,1
25,1.725049E-06,1
26,4.476621E-06,1
27,0.7249857,1
28,0,0
29,0.842692,1
30,1.177884,1
31,0,0
32,4.605791E-05,1
33,0,0
34,0,0
35,1.890742E-06,1
36,2.344016,1
37,1.725454E-06,1
38,0,0
39,0,0
40,0.003543372,1
41,4.376502E-07,1
42,0,0
43,0.0001515968,1
44,0,0
45,8.292725E-06,1
46,0,0
47,1.57358,1
48,0,0
49,0.8325648,1
50,0,0
51,0,0
52,0.005967926,1
53,0.003249415,1
54,0,0
55,1.889878,1
56,3.557595E-07,1
57,0.005547686,1
58,0.7045881,1
59,0,0
60,0,0
61,1.430999,1
62,0,0
63,1.410975,1
64,1.471723,1
65,2.806216E-06,1
66,1.863867,1
67,0.001269658,1
68,2.137223,1
69,8.098035E-08,1
70,0,0
71,1.538235E-07,1
72,0,0
73,1.79711,1
74,1.884187,1
75,0,0
76,0,0
77,1.126527,1
78,2.259434E-06,1
79,0,0
80,1.558539E-06,1
81,6.834733E-07,1
82,0.5160303,1
83,0,0
84,9.484105E-05,1
85,0,0
86,0.609699,1
87,1.451656,1
88,0,0
89,0.3177396,1
90,0.0001390885,1
91,1.83617,1
92,0,0
93,1.841969,1
94,0,0
95,0,0
96,0,0
97,0.6284069,1
98,1.887888,1
99,1.509172E-06,1
100,3.724322E-06,1
101,0,0
102,0,0
103,1.762174E-06,1
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,1.996666,1
111,0.2873088,1
112,1.688943E-06,1
113,1.293023,1
114,0,0
115,2.041372E-06,1
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0.5265066,1
123,0.6511307,1
124,0.7513999,1
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0.855296,1
134,0,0
135,0,0
136,0.7139939,1
137,3.692229E-06,1
138,0,0
139,1.170878E-08,1
140,1.266194,1
141,0,0
142,0,0
143,2.269221,1
144,1.613026,1
145,0,0
146,0,0
147,0,0
148,6.615108E-08,1
149,2.015266E-06,1
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0.6722193,1
156,0,0
157,0,0
158,0.01577939,1
159,1.871728,1
160,0,0
161,0,0
162,0.003855751,1
163,1.916224,1
164,0,0
165,1.775542,1
166,0,0
167,0.8232918,1
168,0.6582559,1
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,1.103212,1
175,0,0
176,0,0
177,9.174716E-07,1
178,0.7568883,1
179,3.688546E-07,1
180,1.760044,1
181,0.01624093,1
