Step,Reward1,Reward2
0,0,0
1,0.9996976,1
2,0.4072483,1
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0.3050262,1
9,0,0
10,7.063687E-05,1
11,1.288859,1
12,0.001497108,1
13,0.3436318,1
14,0,0
15,1.300585,1
16,0.4497122,1
17,0.9102763,1
18,0,0
19,0.0948838,1
20,0.168753,1
21,0,0
22,0,0
23,0.418759,1
24,0.3832209,1
25,0,0
26,0.8989649,1
27,0.786416,1
28,0.1320547,1
29,0.8507403,1
30,0.000589682,1
31,0,0
32,0,0
33,0.9161958,1
34,0.7077099,1
35,1.30962,1
36,0.8255231,1
37,0,0
38,0.7384933,1
39,0,0
40,0.2755785,1
41,0,1
42,0.7770325,1
43,0.3515592,1
44,0.6521083,1
45,0.7602786,1
46,0.4449542,1
47,0,0
48,0.3724962,1
49,0.7522818,1
50,0.2767431,1
51,0,0
52,0.3509763,1
53,0,0
54,0.09950045,1
55,0,0
56,0,0
57,1.098414,1
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0.3776846,1
65,0.1885091,1
66,1.24012,1
67,0.9463377,1
68,0.1569793,1
69,0.7273712,1
70,0.4738373,1
71,0,0
72,0.4343862,1
73,0,0
74,1.110655,1
75,0,0
76,0.9340836,1
77,0,0
78,0.8630314,1
79,1.069135,1
80,0,0
81,1.172575,1
82,1.304933,1
83,0,0
84,0,0
85,0.8607173,1
86,0.1521497,1
87,0,0
88,0,0
89,0.3890619,1
90,0,0
91,0.1569422,1
92,1.113276,1
93,1.021229,1
94,0.6815922,1
95,0.5931107,1
96,0.7691583,1
97,0,0
98,0,0
99,0,0
100,0.8021481,1
101,0.3264869,1
102,0.8949692,1
103,0,0
104,0,0
105,0.493502,1
106,0,0
107,0.305368,1
108,0.2182871,1
109,0,0
110,0,0
111,0.9824446,1
112,0,0
113,0.1739641,1
114,0.2934875,1
115,1.223978,1
116,0,0
117,0,0
118,0.3622342,1
119,0.9181325,1
120,0,0
121,0.4103535,1
122,0,0
123,0,0
124,1.18993,1
125,1.105538,1
126,0.5000979,1
127,0,0
128,0,0
129,0,0
130,0.00186487,1
131,0.4399818,1
132,0.01083904,1
133,0.9303015,1
134,0.3554923,1
135,0,0
136,1.336508,1
137,0.984099,1
138,0.438022,1
139,0.6133699,1
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,1.387846,1
146,0,0
147,1.192511,1
148,0,0
149,0.1939769,1
150,1.070098,1
151,0,0
152,0.246157,1
153,0,0
154,0.286007,1
155,1.278513,1
156,0.2751728,1
157,0,0
158,0.7232281,1
159,0.0001378662,1
160,0.9208696,1
161,0,0
162,0.3976052,1
163,0,0
164,0,0
165,0.3861236,1
166,1.034286,1
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,1.01858,1
175,0.2754563,1
176,0.5919982,1
177,0.6731653,1
178,0.5225599,1
179,0.6833654,1
180,0,0
181,0.3372328,1
182,1.313463,1
183,1.306903,1
184,1.019892,1
185,1.067152,1
186,1.037655,1
187,0,0
188,0.3294152,1
189,0.2139813,1
190,0,0
191,1.035001,1
192,0,0
193,0.7919592,1
194,0.5301242,1
195,0,0
196,0.5194159,1
197,0,0
198,0.7260745,1
199,1.279226,1
200,0,0
201,0,1
202,0,0
203,0,0
204,0,0
205,0.7059729,1
206,0.05117849,1
207,0.179352,1
208,0,0
209,0.6288857,1
210,0.9338508,1
211,0.1582153,1
212,1.041627,1
213,0.5846395,1
214,0,0
215,0,0
216,0,0
217,0.8715927,1
218,1.297447,1
219,0,0
220,1.092565,1
221,0.6968966,1
222,0,0
223,1.137694,1
224,0,0
225,0,0
226,0,0
227,1.119917,1
228,0.8731151,1
229,0,0
230,0.2723691,1
231,0.05943,1
232,1.051884,1
233,0.3211028,1
234,1.065523,1
235,0.6382189,1
236,0,0
237,1.216522,1
238,0,0
239,0.5949923,1
240,0,0
241,0,0
242,0.6367196,1
243,0.5136954,1
244,0,0
245,0.5436727,1
246,0,0
247,0.7884662,1
248,0,0
249,0,0
250,1.212376,1
251,0.0006269602,1
252,0,0
253,0.4246511,1
254,0,0
255,0.2286902,1
256,1.152478,1
257,0,0
258,1.052886,1
259,0,0
260,0,0
261,0,0
262,0,0
263,0.8935441,1
264,0,0
265,3.538861E-07,1
266,0,0
267,0.3966798,1
268,0.0547249,1
269,0.3583501,1
270,0,0
271,0.3085991,1
272,0,0
273,1.083984,1
274,0.3447943,1
275,0,0
276,0.7185158,1
277,0,0
278,0.0324269,1
279,1.031166,1
280,0.4796596,1
281,0,0
282,0.713681,1
283,0.2180387,1
284,0,0
285,0.5533894,1
286,1.112516,1
287,0,0
288,0.328905,1
289,0,0
290,0.2809869,1
291,0,0
292,0.3900347,1
293,0,0
294,1.161784,1
295,0.3727388,1
296,0.3647597,1
297,0,0
298,0.8991802,1
299,0,0
300,0.9583237,1
301,1.287662,1
302,0.4027098,1
303,0,0
304,0,0
305,0.8324075,1
306,0,0
307,0.3872913,1
308,0.4471995,1
309,1.115579,1
310,0.6767824,1
311,0.7603836,1
312,0,0
313,0,0
314,0,0
315,0,0
316,1.0403,1
317,0.5086932,1
318,0.3244285,1
319,0.631833,1
320,0,0
321,0.180668,1
322,0.6753982,1
323,0,0
324,0.03615808,1
325,0.2331702,1
326,0.9450566,1
327,0.7701918,1
328,0,0
329,0,0
330,0.6374369,1
331,0.3076247,1
332,0.5795584,1
333,0.8691729,1
334,0,0
335,0.1220963,1
336,0.9304299,1
337,0.3313847,1
338,0.9697406,1
339,0.7225118,1
340,0,0
341,0,0
342,0.3147151,1
343,0.5480743,1
344,0.4578447,1
345,0.0452596,1
346,0.7090867,1
347,0.3713371,1
348,0,0
349,0.720202,1
350,0,0
351,0.6232588,1
352,0,0
353,0.3104135,1
354,0.3085099,1
355,0.8937876,1
356,0,0
357,1.006294,1
358,1.004247,1
359,0,0
360,1.231545,1
361,0.2883005,1
362,0.3465667,1
363,0,0
364,1.207504,1
365,0,0
366,0,0
367,0,0
368,1.245672,1
369,1.135628,1
370,0,0
371,1.130054,1
372,0.9507612,1
373,0.4052725,1
374,0.4960628,1
375,0.9609797,1
376,0,0
377,0.164627,1
378,0.4821095,1
379,0.4648128,1
380,0,0
381,0.09583971,1
382,1.193226,1
383,0.6583315,1
384,0,0
385,0.9777734,1
386,0.6362331,1
387,0,0
388,0,0
389,0,0
390,0,0
391,0.8671029,1
392,0.3170939,1
393,0,0
394,0.690833,1
395,0,0
396,1.246077,1
397,0.3885576,1
398,1.001125,1
399,0.7955999,1
400,0,0
401,0.0003462775,1
402,0,0
403,0.08630541,1
404,0.9511809,1
405,0,1
406,0.9385708,1
407,0,0
408,0,0
409,0,0
410,0.8823189,1
411,0,0
412,1.47261,1
413,0,0
414,0,0
415,0,0
416,0.948227,1
417,0.5392857,1
418,0,0
419,0,0
420,1.468332E-08,1
421,0.7798839,1
422,0,0
423,0,0
424,0.7221901,1
425,0,0
426,0,0
427,1.401389,1
428,0,0
429,1.147768,1
430,0,0
431,0,0
432,0,0
433,0,0
