Step,Reward1,Reward2
0,0.03953001,1
1,0.616963,1
2,0,0
3,0,0
4,0.2688594,1
5,0.2514531,1
6,0,0
7,0,0
8,0.6751385,1
9,0,0
10,0.4489842,1
11,0,0
12,1.069755,1
13,0,0
14,0,0
15,0,0
16,0.4720359,1
17,1.047902,1
18,0,0
19,1.14056,1
20,1.036416,1
21,0,0
22,0,0
23,1.029577,1
24,0,0
25,0.8983384,1
26,1.101379,1
27,0.793825,1
28,0.3890136,1
29,0,0
30,1.111767,1
31,0,0
32,0,0
33,0,0
34,0.1209823,1
35,0.4709116,1
36,0,0
37,0.2814682,1
38,0,0
39,1.01146,1
40,0,0
41,1.374361,1
42,0.7110742,1
43,0.7545147,1
44,0.0001543012,1
45,0,0
46,0.02137534,1
47,1.106745,1
48,0,0
49,0.001348316,1
50,0,0
51,0,0
52,0,0
53,1.00858,1
54,1.106584,1
55,0.6607851,1
56,0.335933,1
57,0,0
58,0,0
59,0.425798,1
60,1.015859,1
61,0.9182016,1
62,0.5660797,1
63,0.3276633,1
64,0,0
65,0.3756924,1
66,0,0
67,0,0
68,0,0
69,0.6788858,1
70,0.7455094,1
71,1.017083,1
72,0,0
73,0.102333,1
74,0,0
75,0.6824836,1
76,0.9413935,1
77,0.504921,1
78,0,0
79,0.6449642,1
80,0.9437169,1
81,0,0
82,0,0
83,0.7614636,1
84,0.9238735,1
85,0.4275099,1
86,0.9254725,1
87,1.029963,1
88,0.9107146,1
89,0.4050166,1
90,1.094719,1
91,0,0
92,0,0
93,0,0
94,0.8182036,1
95,0,1
96,0,0
97,0.8373739,1
98,1.04888,1
99,0.8364573,1
100,0.2056904,1
101,1.095308,1
102,0.9685305,1
103,0.9459534,1
104,0,0
105,0,0
106,0,0
107,0,0
108,3.970904E-08,1
109,0,0
110,0.1964574,1
111,0.5844769,1
112,0.005661759,1
113,0,0
114,0,0
115,0,0
116,0,0
117,0.33554,1
118,0,0
119,0.9646198,1
120,0.6920078,1
121,0.9001401,1
122,0,0
123,0,0
124,0,0
125,0.4103377,1
126,0,0
127,0,1
128,0.4416065,1
129,0.6695988,1
130,0.6884574,1
131,0,0
132,0.9118044,1
133,0.9392627,1
134,0,0
135,0,0
136,1.15849,1
137,0.4515244,1
138,0,0
139,0,0
140,0.9678975,1
141,1.036298,1
142,0.9815092,1
143,0,0
144,0,0
145,0.6406502,1
146,0.9161221,1
147,0,0
148,0.01480654,1
149,0.5695944,1
150,0,0
151,1.130544,1
152,0.8340967,1
153,0,0
154,0,0
155,1.123789,1
156,0.8102878,1
157,0,0
158,0.2774566,1
159,0.194985,1
160,1.060172,1
161,0.2005928,1
162,0,0
163,0.2573765,1
164,0.4541388,1
165,1.015266,1
166,0.9033281,1
167,0.8004748,1
168,0,0
169,1.088941,1
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0.0145086,1
176,0,0
177,0,0
178,1.091139,1
179,0.3870938,1
180,0.8551776,1
181,1.126291,1
182,0,0
183,0.895792,1
184,0,0
185,0.8228458,1
186,0.9043438,1
187,0,0
188,0.2069152,1
189,0,0
190,0,0
191,0,0
192,0,0
193,1.278912,1
194,0,0
195,0.2533672,1
196,0.8630302,1
197,0,0
198,0,0
199,0.6445576,1
200,0.9786629,1
201,0,0
202,0.5079744,1
203,0,0
204,0,0
205,0.5100304,1
206,0,0
207,0.5310121,1
208,0,0
209,0.4531684,1
210,0.6036358,1
211,0,0
212,0,1
213,1.170974,1
214,1.013171,1
215,0.732353,1
216,1.21753,1
217,0,0
218,0.9128736,1
219,0,0
220,0.8551524,1
221,0,0
222,0.3568755,1
223,0.283823,1
224,0.02218511,1
225,0,0
226,0.3636171,1
227,0,0
228,0,0
229,1.017439,1
230,0.4429847,1
231,2.62144E-07,1
232,0.217308,1
233,0.3825321,1
234,0,0
235,0.4180705,1
236,0.6431067,1
237,0,0
238,0,0
239,0.4095747,1
240,0.729169,1
241,1.073747,1
242,0,0
243,0.3979245,1
244,0.8829951,1
245,0,0
246,0,0
247,0.928807,1
248,0,0
249,1.25316,1
250,0.5959686,1
251,0.9476816,1
252,0,0
253,0.746555,1
254,1.348583,1
255,0,0
256,0,0
257,1.086075,1
258,0,0
259,0,0
260,0.5203737,1
261,0,0
262,0.00360307,1
263,0,0
264,0,0
265,0,0
266,1.203202,1
267,0.6976498,1
268,0,0
269,0.3756518,1
270,1.115902,1
271,1.207411,1
272,0,0
273,0,0
274,0.5081413,1
275,1.083281,1
276,0.04460672,1
277,1.20012,1
278,0.7781348,1
279,0,0
280,0.8364341,1
281,0.8204324,1
282,0.7052001,1
283,0.02621775,1
284,1.165122,1
285,1.135109,1
286,0,0
287,0.1665897,1
288,1.133376,1
289,0.2664539,1
290,0,0
291,1.169777,1
292,0.7612148,1
293,0,0
294,0,0
295,0.2995472,1
296,0.09640057,1
297,0,0
298,1.131749,1
299,0,0
300,0.1705796,1
301,0,0
302,0,0
303,0.9398808,1
304,0.8267686,1
305,0,0
306,1.082546,1
307,0,0
308,1.278298,1
309,0,0
310,0.2078754,1
311,1.057966,1
312,1.229262,1
313,0.07162818,1
314,0.4211347,1
315,0.6676349,1
316,0,0
317,0,0
318,1.07387,1
319,0.8465298,1
320,0,0
321,0.6795443,1
322,0.1338607,1
323,0.4499594,1
324,0,0
325,1.296177E-06,1
326,0,0
327,0,0
328,0,0
329,0.4134813,1
330,0.623894,1
331,0,0
332,1.021832,1
333,0,0
334,0,0
335,0,0
336,0,0
337,0.4519055,1
338,0.5553377,1
339,1.215767,1
340,0.9772661,1
341,0.05302111,1
342,0,0
343,1.205588,1
344,0,0
345,0,0
346,0,1
347,0.5844159,1
348,1.079085,1
349,0,0
350,0,0
351,1.311757,1
352,0,0
353,0.7644618,1
354,0,0
355,0,0
356,0.9175047,1
357,0.3134052,1
358,0.3773437,1
359,0,0
360,0.5877971,1
361,0.7514946,1
362,0,0
363,0,0
364,0.9089872,1
365,0,0
366,0,0
367,0,0
368,0.4410182,1
369,0,0
370,0.3687093,1
371,0.8426142,1
372,0.8296925,1
373,0.6262542,1
374,0.1984986,1
375,0,0
376,0,0
377,0.8179196,1
378,1.129434,1
379,0,0
380,0,0
381,0.2422829,1
382,0.9506103,1
383,0.7863711,1
384,0.3745693,1
385,0.2968964,1
386,0.07313156,1
387,0.4249697,1
388,0.5009166,1
389,0.01253291,1
390,1.295771,1
391,0.4334219,1
392,1.298274,1
393,1.148629,1
394,0,0
395,0,0
396,0,0
397,0.4521567,1
398,0.03743582,1
399,1.206856,1
400,0,0
401,0.7179859,1
402,0,0
403,0.8584617,1
404,0,0
405,0.4773446,1
406,0.9729663,1
407,1.108149,1
408,0,0
409,0,0
410,0.9390767,1
411,0,0
412,0.8935502,1
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0.2213995,1
419,0,0
420,0.811573,1
421,0.3676187,1
422,0,0
423,0,0
424,0.5537467,1
425,1.199068,1
426,0,0
427,0.8523645,1
428,0,0
429,0.8995995,1
430,0.7131329,1
431,0.5658091,1
432,1.1744,1
433,0,0
434,0.4341055,1
435,0,0
436,0.5556657,1
437,0,0
438,0.4586801,1
439,0,0
440,0.8150845,1
441,0.3819785,1
442,0,0
443,0.6630233,1
444,0.4433059,1
445,0,0
446,0.2779751,1
447,1.058413,1
448,1.059792,1
449,0,0
450,0,0
451,0.1718687,1
452,0,0
453,1.159563,1
454,0,0
455,0.448657,1
456,0,0
457,0.0008887175,1
458,0.2799892,1
459,0,0
460,0.9527237,1
461,0.5357304,1
462,0.7402658,1
463,0.7011117,1
464,0.3387203,1
465,0.07955819,1
466,0.2290069,1
467,0.9572896,1
468,0.9178084,1
469,1.149853,1
470,0.6408543,1
471,0.7249696,1
472,0,0
473,0,0
474,0,0
475,0.687044,1
476,1.054318,1
477,0.6347409,1
478,0.1226884,1
479,0,0
480,0,0
481,0,0
482,0,0
483,1.043426,1
484,0.006195561,1
485,0,0
486,0.9883337,1
487,0.5224634,1
488,0,0
489,0.2167173,1
490,0.7688851,1
491,0,0
492,0,0
493,0.9076082,1
494,0.1465892,1
495,0.8798717,1
496,0,0
497,0.8570114,1
498,0,0
499,0,0
500,1.182718,1
501,0,0
502,1.170972,1
503,0,0
504,0.5445032,1
505,0,0
506,0,0
507,0.3517157,1
508,0.4904417,1
509,0.07969628,1
510,0,0
511,0,0
512,1.21179,1
513,0.9880009,1
514,1.010858,1
515,0.3996128,1
516,1.139541,1
517,0.3913305,1
518,0,0
519,0.8688977,1
520,1.007496,1
521,0,0
522,0.0002705812,1
523,0,0
524,0,0
525,0,0
526,1.008678,1
527,0.0615859,1
528,1.283666,1
529,1.346637,1
530,0.7224686,1
531,1.646662,1
532,1.195127,1
533,1.018434,1
534,1.100904,1
535,0,0
536,0.4237908,1
537,0.4338726,1
538,0,0
539,0,0
540,0.154547,1
541,0,0
542,0.4498447,1
543,0,0
544,0.8233679,1
545,1.068994,1
546,0.4004867,1
547,0,0
548,1.098627,1
549,0,0
550,0.9269628,1
551,1.153581,1
552,1.174812,1
553,0.6923057,1
554,1.007832,1
555,0.1450321,1
556,1.087051,1
557,1.926492E-07,1
558,0.854519,1
559,0,0
560,0,0
561,0.7756772,1
562,0.9148362,1
563,0.8902493,1
564,0.005433482,1
565,1.146685,1
566,0.989877,1
567,1.210894,1
568,0.7654023,1
569,0.4191978,1
570,0,0
571,0,0
572,0,0
573,0.3906907,1
574,0,0
575,0.9875825,1
576,1.144454,1
577,0,0
578,1.007908,1
579,0.528199,1
580,0,0
581,0.2597263,1
582,0.9112921,1
583,0,0
584,0.7137542,1
585,0,0
586,0,0
587,0,0
588,0.8199801,1
589,0,0
590,0.6061649,1
591,1.225883,1
592,0,0
593,0.4624106,1
594,0,0
595,0.2336363,1
596,0.8803411,1
597,0,0
598,0,0
599,0.722793,1
600,0,0
601,0.9000445,1
602,0.6429754,1
603,0.5084873,1
604,1.255971,1
605,0.405032,1
606,0,0
607,0.5527759,1
608,0.7586825,1
609,0.9674299,1
610,0,0
611,0.5901438,1
612,0,0
613,0.6667111,1
614,0,0
615,1.253211,1
616,0.4800941,1
617,0,0
618,0.8722237,1
619,0.9148431,1
620,1.066296,1
621,0.2256453,1
622,0.8748245,1
623,0,0
624,0,0
625,0,0
626,0.968762,1
627,1.121025,1
628,0,0
629,0.003043013,1
630,1.168376,1
631,0.2140206,1
632,1.003624,1
633,1.421682,1
634,0,0
635,0.9559485,1
636,0.4358351,1
637,0,0
638,0.006273585,1
639,0,0
640,0,0
641,0,0
642,0,0
643,1.25585,1
644,0.5187768,1
645,0.6367577,1
646,0.9376988,1
647,0,0
648,0.9058749,1
649,0.7010168,1
650,1.157955,1
651,0,0
652,0,0
653,0.6547385,1
654,0,0
655,0,0
