Step,Reward1,Reward2
0,0,0
1,0,0
2,0.1010626,1
3,0,0
4,0.9834722,1
5,0,0
6,1.774878E-07,1
7,0,0
8,0,0
9,0,0
10,0,0
11,0.2820126,1
12,0.9943159,1
13,0,0
14,0,0
15,0.8238629,1
16,0,0
17,0,0
18,0,0
19,1.085644,1
20,0,0
21,0,0
22,0,0
23,0.1151422,1
24,0,0
25,1.411123,1
26,0,1
27,4.720022E-05,1
28,0,0
29,0,0
30,0,0
31,0,0
32,0.8633627,1
33,0,0
34,0.712762,1
35,0.5326246,1
36,0,0
37,0,0
38,0.3704959,1
39,0,0
40,0,0
41,1.133887,1
42,1.318961,1
43,1.207794,1
44,0,0
45,0.5944175,1
46,0.7799696,1
47,0.2252694,1
48,0,0
49,1.699511,1
50,0,0
51,0.5807678,1
52,0.8264542,1
53,0,0
54,0.8601505,1
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0.9754119,1
61,0,0
62,0.5623518,1
63,0,0
64,0.9732985,1
65,0.393295,1
66,0,0
67,0.1596492,1
68,0,0
69,0,0
70,0,0
71,0,0
72,0.7236714,1
73,0,0
74,0,0
75,0,0
76,0.58505,1
77,0.7760977,1
78,0,0
79,0.90536,1
80,0,0
81,0,0
82,0,0
83,0,0
84,0.9272749,1
85,0,0
86,0,0
87,0,0
88,0.6484303,1
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0.3475245,1
98,0,0
99,0,0
100,0,0
101,0,0
102,1.362215,1
103,0.1740636,1
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,1.172986,1
111,0.7190099,1
112,0,0
113,0.9102345,1
114,0,0
115,0.6288671,1
116,0.2640461,1
117,1.265159,1
118,0.003269713,1
119,0.216237,1
120,0.5879948,1
121,0,0
122,1.276788,1
123,0,0
124,0,0
125,1.018336,1
126,0,0
127,1.101547,1
128,0.6504715,1
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0.1986182,1
135,0,0
136,0,0
137,0,0
138,0,0
139,0.6773199,1
140,0.4126534,1
141,0.7617929,1
142,0.6926087,1
143,0,0
144,0,0
145,1.266828,1
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0.2046032,1
157,0.6107439,1
158,0,0
159,0.2293013,1
160,0,0
161,0.7176836,1
162,0,0
163,0,0
164,0.08621521,1
165,0.1364848,1
166,0.811448,1
167,0,0
168,0.644321,1
169,0,0
170,0.679859,1
171,0,0
172,0.336004,1
173,0,0
174,0,0
175,0,0
176,0.5714517,1
177,0,0
178,1.025204,1
179,0,0
180,0.8544063,1
181,1.026297,1
182,0,0
183,0.46404,1
184,0,0
185,0,0
186,0.8593521,1
187,1.17742,1
188,0.7687476,1
189,0,0
190,0.7532202,1
191,0.2781579,1
192,0,0
193,1.09124,1
194,0.5616999,1
195,0.8466861,1
196,0,0
197,0,0
198,0.5492065,1
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0.5313085,1
205,0,0
206,0,0
207,0,0
208,0,0
209,1.13505,1
210,1.067478,1
211,1.247179,1
212,0,0
213,0.3771128,1
214,0.176635,1
215,0,1
216,0.2166234,1
217,0.9913129,1
218,0,0
219,0.8550477,1
220,0,0
221,0,0
222,0,0
223,0.9574418,1
224,0,0
225,0.201305,1
226,0.2679783,1
227,0,0
228,0.2186398,1
229,0,0
230,0.6727121,1
231,0,0
232,1.157108,1
233,0.9517541,1
234,1.289752,1
235,1.185124,1
236,0.1828875,1
237,0.697533,1
238,0,0
239,0,0
240,1.034941,1
241,0.516985,1
242,0.7557532,1
243,0.6128868,1
244,0.9232169,1
245,0.2868816,1
246,0,0
247,0,1
248,0.8809134,1
249,0.6966547,1
250,0,0
251,0.4641402,1
252,0,0
253,1.141989,1
254,0.001010258,1
255,0.8151687,1
256,0,0
257,0,0
258,0,0
259,0,0
260,1.151933,1
261,0.3683826,1
262,0,0
263,0.9169574,1
264,0.5670695,1
265,0,0
266,0.7897282,1
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,1.213342,1
273,0,0
274,0.2685432,1
275,0,0
276,1.021755,1
277,0,0
278,0.3908916,1
279,0.3799911,1
280,0.2709938,1
281,0,0
282,0.9109255,1
283,0.9245752,1
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0.251041,1
290,1.080171,1
291,0,0
292,0.4954437,1
293,0,0
294,0.6134195,1
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,0.2772698,1
301,0,0
302,0,0
303,0.321946,1
304,0,0
305,0.6379258,1
306,0.7622477,1
307,0.4498957,1
308,0,0
309,1.159355,1
310,0,0
311,0.3696204,1
312,0,0
313,0.4601787,1
314,0,0
315,0,0
316,0.9051826,1
317,0,0
318,0,0
319,1.052486,1
320,0.1637439,1
321,0.3612382,1
322,0.3544242,1
323,0.6362939,1
324,0,0
325,0,0
326,0.05873626,1
327,1.147521,1
328,0.7905586,1
329,0,0
330,0.4128911,1
331,0.8108353,1
332,0,0
333,0,0
334,0,0
335,1.099961,1
336,0,0
337,0,0
338,0,0
339,0,0
340,0.1367648,1
341,0,0
342,0.6848878,1
343,1.044922,1
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0.9842486,1
355,0.3664246,1
356,0,0
357,0.7935463,1
358,0,0
359,0.2418535,1
360,1.026764,1
361,0.700139,1
362,0,0
363,0.4776052,1
364,0,0
365,0.6139227,1
366,0,0
367,0.5231171,1
368,0,0
369,0.8028232,1
370,0,0
371,0,0
372,0,0
373,0.9669434,1
374,0,0
375,0.6851757,1
376,0.8810878,1
377,0.9392037,1
378,0,0
379,0,0
380,0,0
381,0,1
382,0.2844771,1
383,0.6356421,1
384,0.7755697,1
385,0,1
386,1.12628,1
387,0,0
388,0.4901313,1
389,0.9376306,1
390,0,0
391,0,0
392,0,0
393,0.7537028,1
394,0.6450354,1
395,0,0
396,0,0
397,0,0
398,0,0
399,0.0853693,1
400,0,0
401,0.4317032,1
402,0,0
403,0.6615201,1
404,0.9730279,1
405,0,0
406,0,0
407,0,0
408,1.03921,1
409,0.8234365,1
410,0,0
411,0.4902255,1
412,0.03110129,1
413,0.7329107,1
414,0.2582128,1
415,0,0
416,0.4593918,1
417,0,0
418,0.2910923,1
419,0,0
420,2.067789E-07,1
421,0,0
422,0,0
423,0,0
424,0.979583,1
425,0,0
426,0,0
427,0,0
428,1.240216,1
429,0,0
430,5.362253E-07,1
431,0.3732462,1
432,1.096491,1
433,0,0
434,0,0
435,0.007140493,1
436,0,0
437,0,0
438,0.9930719,1
439,0,0
440,0,0
441,0,1
442,0,0
443,0,0
444,0,0
445,0,0
446,1.067914,1
447,0,0
