Step,Reward1,Reward2
0,1.128741,1
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0.8115823,1
10,0.2383944,1
11,0,0
12,0,0
13,0.3139845,1
14,0,0
15,0,0
16,0,0
17,0,0
18,0.8966286,1
19,0,0
20,0,1
21,0.803031,1
22,0.9458205,1
23,0,0
24,0,0
25,0.5450785,1
26,0,0
27,0.3830713,1
28,0,0
29,0,0
30,0.4145191,1
31,0.7975218,1
32,0,0
33,0.6439146,1
34,0.746704,1
35,0,0
36,0.0411734,1
37,0,0
38,0.9192281,1
39,0.8170046,1
40,0,0
41,0,0
42,0,0
43,1.242428,1
44,0,0
45,0.6431118,1
46,0,0
47,0.932423,1
48,0.1392377,1
49,1.256673,1
50,0.8950926,1
51,0,0
52,1.025771,1
53,0,0
54,0.7683913,1
55,0,0
56,0,0
57,0.7008893,1
58,0,0
59,0.132525,1
60,0.9855097,1
61,0,0
62,0.9637312,1
63,0,0
64,1.036302,1
65,0.2570517,1
66,0,0
67,0.2654729,1
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0.8952203,1
74,0,0
75,0.6035798,1
76,0.9207929,1
77,0.8594059,1
78,0.9282579,1
79,0.6105266,1
80,0.9569839,1
81,0,0
82,0,0
83,1.041726,1
84,0.01016468,1
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,1.254051,1
91,0.0003156927,1
92,0,0
93,0.1368089,1
94,0,0
95,0,0
96,0,0
97,0,0
98,0.6066496,1
99,0.02695436,1
100,0.8666169,1
101,0.9138165,1
102,1.027167,1
103,0,0
104,1.101198,1
105,0,0
106,0,0
107,0,0
108,8.218912E-08,1
109,0,0
110,0,0
111,0,0
112,0.7783306,1
113,0.8096471,1
114,0,0
115,0.9411725,1
116,0.179752,1
117,0,0
118,0.7522529,1
119,0,0
120,0,0
121,5.269048E-08,1
122,0,0
123,0,0
124,0,0
125,0.5532849,1
126,0,0
127,0.6961569,1
128,0,0
129,7.639153E-07,1
130,0.6922258,1
131,0,0
132,0,0
133,0.7411951,1
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0.1189834,1
142,0,0
143,0.3421658,1
144,0,0
145,1.074842,1
146,0.9568315,1
147,0.4854463,1
148,0.6799447,1
149,0.5986727,1
150,1.052285,1
151,0,0
152,0.9512923,1
153,0,0
154,0,0
155,0,0
156,0.083019,1
157,0,0
158,0,0
159,0,0
160,0.1811594,1
161,0,0
162,0.2367783,1
163,0.8983284,1
164,0.4416782,1
165,0,0
166,0.7742821,1
167,0,0
168,0.5760705,1
169,0.9932821,1
170,1.218091,1
171,0.9841287,1
172,0,0
173,0,0
174,0.7774282,1
175,0.8007654,1
176,0.8404934,1
177,0.5036142,1
178,0.5145449,1
