Step,Reward1,Reward2
0,0.004594089,1
1,0,0
2,1.151511,1
3,0,0
4,0,0
5,0.8653121,1
6,0.2606919,1
7,0,0
8,1.078819,1
9,0.01117478,1
10,0.6995168,1
11,0,0
12,0.9949627,1
13,0.9943286,1
14,0.9481652,1
15,0,0
16,0.9655856,1
17,1.002448,1
18,1.275392,1
19,0.4372958,1
20,0.9897938,1
21,0.8886585,1
22,1.227813,1
23,0,0
24,0.7914429,1
25,0,0
26,0.2987414,1
27,0.9100926,1
28,0,0
29,0,0
30,0,0
31,1.00336,1
32,0,0
33,0,0
34,0.3002771,1
35,0,0
36,1.843568E-06,1
37,0.6144291,1
38,0,0
39,0.8109058,1
40,0.2757516,1
41,0.14293,1
42,0.1396503,1
43,0.002683875,1
44,1.303212,1
45,0.6596505,1
46,0.3447181,1
47,0.554245,1
48,0,0
49,0.7773789,1
50,0.7028777,1
51,0.4568492,1
52,0.001333882,1
53,0,1
54,0.515316,1
55,0.8499033,1
56,0.2024362,1
57,7.263353E-05,1
58,0.9972644,1
59,1.270835,1
60,0.9992846,1
61,0.3546202,1
62,0.9718171,1
63,0,0
64,0.2003754,1
65,1.134378,1
66,0.009047916,1
67,0,0
68,0,0
69,0,0
70,0,0
71,0.5072586,1
72,1.021474,1
73,0.527829,1
74,0.8299813,1
75,0.6873683,1
76,1.11486,1
77,1.407154,1
78,0,0
79,0,0
80,0.2672154,1
81,0.1445177,1
82,0.8166634,1
83,1.051953,1
84,1.570251E-07,1
85,1.124155,1
86,0,1
87,0,0
88,0,0
89,0,0
90,0.791651,1
91,0,0
92,0.7698727,1
93,0,0
94,0,0
95,1.04946,1
96,0,0
97,0.2863123,1
98,0,0
99,0.6498235,1
100,0.8504778,1
101,0,0
102,0,0
103,0.9486008,1
104,0.6515967,1
105,0,0
106,0.5131466,1
107,0,0
108,0,0
109,0,0
110,0,0
111,0.262105,1
112,0.5526199,1
113,0.02492583,1
114,0,0
115,0.8767778,1
116,0,0
117,1.390311,1
118,0,0
119,0,0
120,0.7790083,1
121,0,0
122,0,0
123,0,0
124,0.5778788,1
125,0,0
126,0.7416136,1
127,0,0
128,0.4810559,1
129,1.128957,1
130,0.920074,1
131,0.3669685,1
132,1.268556,1
133,0,0
134,0.7482861,1
135,0,0
136,0,0
137,0.3647903,1
138,0,0
139,0.7543427,1
140,0.1329301,1
141,0,0
142,0,0
143,0.6019467,1
144,0,0
145,0.3077783,1
146,0,0
147,0.9748071,1
148,0.9384638,1
149,0.8149189,1
150,0,0
151,0,0
152,0,1
153,0.3398493,1
154,1.332587,1
155,0,0
156,0.8319033,1
157,0.6875356,1
158,0.056666,1
159,0,0
160,0,0
161,0.02371076,1
162,1.007067,1
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0.258435,1
170,0,0
171,0,0
172,0.9758546,1
173,0.4168819,1
174,0,0
175,0,0
176,0.9589767,1
177,0.3258027,1
178,0,0
179,1.005462,1
180,0.7195158,1
181,1.007578,1
182,0.2975596,1
183,0,0
184,0,0
185,0.6870788,1
186,0,0
187,0.6144513,1
188,0,0
189,1.108854,1
190,0.4817879,1
191,0.05089585,1
192,0,0
193,0,0
194,0.69758,1
195,0.5241359,1
196,0,0
197,0,0
198,0,0
199,0,0
200,1.310284,1
201,1.364649,1
202,1.362826,1
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0.7925404,1
209,0,0
210,0,0
211,0.4801623,1
212,0,0
213,0.3218009,1
214,0,0
215,0,0
216,1.111173,1
217,1.053422,1
218,0.4148237,1
219,0.4150646,1
220,0,0
221,0,0
222,0.7688434,1
223,0.2066375,1
224,0,0
225,0,0
226,0.2703865,1
227,0,0
228,0,0
229,0.4015818,1
230,0,0
231,5.849133E-07,1
232,0,0
233,0.9700242,1
234,0.8960479,1
235,0,0
236,0,0
237,0,0
238,0.8238894,1
239,1.017993,1
240,0,0
241,0.7368764,1
242,0.7998285,1
243,0,0
244,0,0
245,0,0
246,0,0
247,1.222755,1
248,0.9312714,1
249,1.162346,1
250,0.84658,1
251,0.3772012,1
252,0,0
253,0.8632445,1
254,0.9144273,1
255,0,0
256,0,0
257,0,0
258,0,0
259,1.073362,1
260,0.9251161,1
261,0.9235272,1
262,1.250727,1
263,0.86373,1
264,0,0
265,0.02674201,1
266,0.1479917,1
267,1.269265,1
268,1.113824,1
269,0.1891911,1
270,0,0
271,1.034943,1
272,0,0
273,1.104733,1
274,0,0
275,0.9059482,1
276,1.179653,1
277,0.8446379,1
278,0.4854322,1
279,0,0
280,0,0
281,1.060947,1
282,0.8062904,1
283,0,0
284,0,0
285,0,0
286,0,0
287,0.4135712,1
288,0,0
289,0,0
290,1.293611,1
291,0,0
292,0.7574466,1
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0.4520707,1
299,0.3496879,1
300,0,0
301,1.003285,1
302,0,0
303,0,0
304,0.3456732,1
305,0.001104001,1
306,0,0
307,0.5083563,1
308,0,0
309,0,0
310,0.9774009,1
311,0.006377339,1
312,0.7279465,1
313,0.1296319,1
314,0,0
315,0,0
316,0.8126041,1
317,3.131028E-06,1
318,0.9614584,1
319,0.6601095,1
320,1.081921,1
321,0.003141816,1
322,0,0
323,0,0
324,0.7300806,1
325,0.02811186,1
326,0,0
327,0,0
328,0.653258,1
329,0.6823489,1
330,0.6080722,1
331,0.5964669,1
332,0.7310725,1
333,1.215194,1
334,0,0
335,1.074606,1
336,1.216744,1
337,0,0
338,0.05630483,1
339,0.765572,1
